"District IRN","District Name","County","Region","Address","City and Zip Code","Phone #","Superintendent","Four Year Longitudinal Graduation Rate - Class of 2016","Letter Grade of 4 year Graduation Rate 2016","Four Year Graduation Rate Numerator - Class of 2016","Four Year Graduation Rate Denominator - Class of 2016","Four Year Graduation Rate - Similar District Average","Four Year Graduation Rate - Statewide Average","Watermark"
"043810","Conneaut Area City","Ashtabula","Region 5","230 Gateway Ave","Conneaut, OH, 44030-2355","(440) 593-7200","Lori A. Riley","86.9","C","106","122","90.0","83.6",""
"043828","Coshocton City","Coshocton","Region 12","1207 Cambridge Rd","Coshocton, OH, 43812-2742","(740) 622-1901","David L. Hire","94.5","A","103","109","87.3","83.6",""
"043836","Cuyahoga Falls City","Summit","Region 8","PO Box 396","Cuyahoga Falls, OH, 44222-0396","(330) 926-3800","Todd M. Nichols","90.0","B","333","370","91.5","83.6",""
"043844","Dayton City","Montgomery","Region 10","115 S Ludlow St","Dayton, OH, 45402-1812","(937) 542-3000","Rhonda A. Corr","72.6","F","717","988","76.6","83.6",""
"043851","Deer Park Community City","Hamilton","Region 13","4131 Matson Ave","Cincinnati, OH, 45236-2509","(513) 891-0222","Jack W. Phillips III","94.5","A","86","91","92.7","83.6",""
"043869","Defiance City","Defiance","Region 1","629 Arabella St","Defiance, OH, 43512-2856","(419) 782-0070","Michael R. Struble","87.3","C","158","181","89.7","83.6",""
"043877","Delaware City","Delaware","Region 11","74 W William St","Delaware, OH, 43015-2339","(740) 833-1100","Paul A. Craft","92.6","B","311","336","93.4","83.6",""
"043885","Delphos City","Allen","Region 6","234 N Jefferson St","Delphos, OH, 45833-1690","(419) 692-2509","Kevin J. Wolfe","95.4","A","83","87","91.7","83.6",""
"043893","Dover City","Tuscarawas","Region 12","219 W 6th St","Dover, OH, 44622-2803","(330) 364-1906","Carla J. Birney","91.3","B","178","195","93.8","83.6",""
"043901","East Cleveland City School District","Cuyahoga","Region 3","1843 Stanwood Rd","East Cleveland, OH, 44112-2901","(216) 268-6570","Myrna L. Corley","68.0","F","153","225","78.9","83.6",""
"043919","East Liverpool City","Columbiana","Region 5","810 W 8th St","East Liverpool, OH, 43920-2302","(330) 385-7132","Randy L. Taylor","89.9","B","125","139","89.5","83.6",""
"043927","East Palestine City","Columbiana","Region 5","200 West North Avenue","East Palestine, OH, 44413-1779","(330) 426-4191","Traci J. Hostetler","94.0","A","78","83","92.3","83.6",""
"043935","Eaton Community City","Preble","Region 10","306 Eaton Lewisburg Rd","Eaton, OH, 45320-1105","(937) 456-1107","Barbara L. Curry","92.1","B","152","165","93.7","83.6",""
"043943","Elyria City Schools","Lorain","Region 2","42101 Griswold Rd","Elyria, OH, 44035-2117","(440) 284-8000","Thomas G. Jama","84.8","C","385","454","84.1","83.6",""
"043950","Euclid City","Cuyahoga","Region 3","651 E 222nd St","Euclid, OH, 44123-2031","(216) 261-2900","Charles A. Smialek","75.2","F","348","463","81.6","83.6","Third Grade Reading Guarantee data may be incomplete due to local reporting error. Contact district for more information."
"043968","Fairborn City","Greene","Region 10","306 E Whittier Ave","Fairborn, OH, 45324-5313","(937) 878-3961","Mark O. North","89.3","B","226","253","87.0","83.6",""
"043976","Fairview Park City","Cuyahoga","Region 3","21620 Mastick Rd # A","Fairview Park, OH, 44126-3047","(440) 331-5500","William W. Wagner","93.1","A","134","144","93.8","83.6",""
"043984","Findlay City","Hancock","Region 1","2019 Broad Ave","Findlay, OH, 45840-2749","(419) 425-8212","Edward P. Kurt","91.8","B","326","355","91.8","83.6",""
"043992","Fostoria City","Seneca","Region 1","1001 Park Ave","Fostoria, OH, 44830-1455","(419) 435-8163","Andrew R. Sprang","86.0","C","117","136","85.9","83.6",""
"044008","Franklin City","Warren","Region 13","150 E 6th St","Franklin, OH, 45005-2559","(937) 746-1699","Michael D. Sander","93.1","A","189","203","91.1","83.6",""
"044016","Fremont City","Sandusky","Region 1","500 W State St","Fremont, OH, 43420-2572","(419) 332-6454","Jon C. Detwiler","93.4","A","271","290","85.2","83.6",""
"044024","Galion City","Crawford","Region 7","470 Portland Way N","Galion, OH, 44833-1115","(419) 468-3432","James M. Grubbs","85.6","C","119","139","92.0","83.6",""
"044032","Gallipolis City","Gallia","Region 16","61 State St","Gallipolis, OH, 45631-1131","(740) 446-3211","Craig D. Wright","88.7","C","118","133","93.0","83.6",""
"044040","Garfield Heights City Schools","Cuyahoga","Region 3","5640 Briarcliff Dr","Garfield Heights, OH, 44125-4158","(216) 475-8100","Terrance S. Olszewski","82.5","D","260","315","81.5","83.6",""
"044057","Geneva Area City","Ashtabula","Region 5","135 S Eagle St","Geneva, OH, 44041-1513","(440) 466-4831","Eric M. Kujala","92.6","B","174","188","90.3","83.6",""
"044065","Girard City School District","Trumbull","Region 5","100 W Main St Ste 2","Girard, OH, 44420-2598","(330) 545-2596","David M. Cappuzzello","90.1","B","109","121","90.5","83.6",""
"044073","Grandview Heights Schools","Franklin","Region 11","1587 W 3rd Ave","Columbus, OH, 43212-2825","(614) 481-3600","Andrew K. Culp","95.8","A","69","72","96.9","83.6",""
"044081","Winton Woods City","Hamilton","Region 13","1215 W Kemper Rd","Cincinnati, OH, 45240-1617","(513) 619-2300","Anthony G. Smith","83.2","D","258","310","83.7","83.6",""
"044099","Greenville City","Darke","Region 10","215 W 4th St","Greenville, OH, 45331-1423","(937) 548-3185","Douglas W. Fries","90.4","B","206","228","91.8","83.6",""
"044107","Hamilton City","Butler","Region 13","PO Box 627","Hamilton, OH, 45012-0627","(513) 887-5000","Anthony T. Orr","76.4","F","444","581","84.6","83.6",""
"044115","Heath City","Licking","Region 11","107 Lancaster Dr","Heath, OH, 43056-1220","(740) 522-2816","Trevor R. Thomas","92.4","B","122","132","93.5","83.6",""
"044123","Hillsboro City","Highland","Region 14","39 Willetsville Pike","Hillsboro, OH, 45133-8277","(937) 393-3475","Brian T. Davis","88.7","C","204","230","91.4","83.6",""
"044131","Huron City Schools","Erie","Region 2","712 Cleveland Rd E","Huron, OH, 44839-1871","(419) 433-1234","Dennis M. Muratori","94.7","A","107","113","96.3","83.6",""
"044149","Ironton City","Lawrence","Region 15","105 S 5th St","Ironton, OH, 45638-1426","(740) 532-4133","William D. Nance","98.1","A","102","104","87.2","83.6",""
"044156","Jackson City","Jackson","Region 16","450 Vaughn St","Jackson, OH, 45640-1944","(740) 286-6442","Phillip R. Howard","97.2","A","172","177","92.8","83.6",""
"044164","Kent City","Portage","Region 8","321 N Depeyster St","Kent, OH, 44240-2514","(330) 673-6515","George J. Joseph","93.7","A","268","286","93.3","83.6",""
"044172","Kenton City","Hardin","Region 6","222 W Carrol St","Kenton, OH, 43326-1202","(419) 673-0775","Jennifer M. Penczarski","92.1","B","128","139","90.5","83.6",""
"044180","Kettering City School District","Montgomery","Region 10","3750 Far Hills Ave","Kettering, OH, 45429-2506","(937) 499-1430","L Scott S. Inskeep","92.5","B","505","546","92.3","83.6",""
"044198","Lakewood City","Cuyahoga","Region 3","1470 Warren Rd","Lakewood, OH, 44107-3918","(216) 529-4092","Jeffrey W. Patterson","84.6","C","296","350","92.3","83.6",""
"044206","Lancaster City","Fairfield","Region 11","345 E Mulberry St","Lancaster, OH, 43130-3166","(740) 687-7300","Steven M. Wigton","91.4","B","402","440","92.1","83.6",""
"044214","Lebanon City","Warren","Region 13","700 Holbrook Ave","Lebanon, OH, 45036-1648","(513) 934-5770","Todd Yohey","94.3","A","410","435","93.7","83.6",""
"044222","Lima City","Allen","Region 6","755 Saint Johns Ave","Lima, OH, 45804-1552","(419) 996-3400","Jill A. Ackerman","69.2","F","173","250","82.0","83.6",""
"044230","Lockland Local","Hamilton","Region 13","210 N Cooper Ave","Cincinnati, OH, 45215-3011","(513) 563-5000","Frederick T. Jebens","74.5","F","38","51","83.9","83.6",""
"044248","Logan-Hocking Local","Hocking","Region 16","2019 E Front St","Logan, OH, 43138","(740) 385-8517","Monte D. Bainter II","95.9","A","304","317","93.2","83.6",""
"044255","London City","Madison","Region 11","380 Elm St 2nd Fl","London, OH, 43140-9220","(740) 852-5700","Louis A. Kramer","92.9","B","117","126","93.3","83.6",""
"044263","Lorain City","Lorain","Region 2","2601 Pole Ave","Lorain, OH, 44052-4301","(440) 830-7271","Jeffrey M. Graham","71.4","F","409","573","78.8","83.6",""
"044271","Loveland City","Hamilton","Region 13","757 S Lebanon Rd","Loveland, OH, 45140-9308","(513) 683-5600","Amy C. Crouse","96.3","A","308","320","95.9","83.6",""
"044289","Madeira City","Hamilton","Region 13","7465 Loannes Dr","Cincinnati, OH, 45243-1851","(513) 985-6070","Kenji Matsudo","97.3","A","109","112","96.8","83.6",""
"044297","Mansfield City","Richland","Region 7","PO Box 1448","Mansfield, OH, 44901-1448","(419) 525-6400","Brian K. Garverick","65.5","F","148","226","84.5","83.6",""
"044305","Maple Heights City","Cuyahoga","Region 3","5740 Lawn Ave","Maple Heights, OH, 44137-3870","(216) 587-6100","Charles T. Keenan","78.6","F","198","252","79.7","83.6",""
"044313","Mariemont City","Hamilton","Region 13","2 Warrior Way","Cincinnati, OH, 45227-3600","(513) 272-7500","Steven E. Estepp","97.6","A","120","123","96.7","83.6",""
"044321","Marietta City","Washington","Region 16","111 Academy Dr","Marietta, OH, 45750-8053","(740) 374-6500","William T. Hampton","81.7","D","183","224","92.3","83.6",""
"044339","Marion City","Marion","Region 7","420 Presidential Dr","Marion, OH, 43302-5173","(740) 387-3300","Stephen P. Fujii","88.8","C","231","260","83.2","83.6",""
"044347","Martins Ferry City","Belmont","Region 12","5001 Ayers Limestone Rd","Martins Ferry, OH, 43935-1588","(740) 633-1732","James Fogle","91.6","B","87","95","92.6","83.6",""
"044354","Massillon City","Stark","Region 9","930 17th St NE","Massillon, OH, 44646-4853","(330) 830-3900","Richard D. Goodright","86.6","C","264","305","84.0","83.6",""
"044362","Maumee City","Lucas","Region 1","716 Askin St","Maumee, OH, 43537-3602","(419) 893-3200","Todd M. Cramer","97.5","A","199","204","93.2","83.6",""
"044370","Mayfield City","Cuyahoga","Region 3","1101 S.O.M. Center Road","Mayfield Heights, OH, 44124-2006","(440) 995-7201","KEITH W. KELLY","93.3","A","320","343","95.4","83.6",""
"044388","Medina City SD","Medina","Region 8","739 Weymouth Rd","Medina, OH, 44256-2037","(330) 636-3031","Aaron J. Sable","96.8","A","536","554","94.9","83.6",""
"044396","Miamisburg City","Montgomery","Region 10","540 E. Park Ave","Miamisburg, OH, 45342-2854","(937) 866-3381","David S. Vail","93.7","A","340","363","93.3","83.6",""
"044404","Middletown City","Butler","Region 13","1 Donham Plz 4th Fl","Middletown, OH, 45042-1932","(513) 423-0781","Marlon J. Styles","90.0","B","307","341","79.8","83.6",""
"044412","Mt Healthy City","Hamilton","Region 13","7615 Harrison Ave","Cincinnati, OH, 45231-3107","(513) 729-0077","Reva C. Cosby","79.3","D","184","232","88.3","83.6",""
"044420","Mount Vernon City","Knox","Region 7","300 Newark Rd","Mount Vernon, OH, 43050-4510","(740) 397-7422","William D. Seder","93.1","A","268","288","91.9","83.6",""
"044438","Napoleon Area City","Henry","Region 1","701 Briarheath Ave Ste 108","Napoleon, OH, 43545-1251","(419) 599-7015","Stephen R. Fogo","92.9","B","143","154","93.6","83.6",""
"044446","Nelsonville-York City","Athens","Region 16","2 Buckeye Dr","Nelsonville, OH, 45764-9591","(740) 753-4441","Charles D. McClelland","90.3","B","84","93","90.8","83.6",""
"044453","Newark City","Licking","Region 11","621 Mount Vernon Rd","Newark, OH, 43055-4615","(740) 670-7005","Douglas C. Ute","84.5","C","288","341","89.0","83.6",""
"044461","New Boston Local","Scioto","Region 15","#1 Glenwood Tiger Trail","New Boston, OH, 45662","(740) 456-4626","Melinda M. Burnside","89.3","B","25","28","87.9","83.6",""
"044479","New Lexington School District","Perry","Region 16","2549 Panther Drive","New Lexington, OH, 43764-0630","(740) 342-4133","Casey H. Coffey","78.5","F","84","107","91.3","83.6",""
"044487","New Philadelphia City","Tuscarawas","Region 12","248 Front Ave SW","New Philadelphia, OH, 44663-2150","(330) 364-0600","David J. Brand","88.9","C","201","226","92.6","83.6",""
"044495","Niles City","Trumbull","Region 5","309 N Rhodes Ave","Niles, OH, 44446-3821","(330) 989-5095","Ann Marie A. Thigpen","79.3","D","161","203","90.0","83.6",""
"044503","North Canton City","Stark","Region 9","525 7th St NE","North Canton, OH, 44720-2012","(330) 497-5600","Jeff S. Wendorf","95.1","A","310","326","94.9","83.6",""
"044511","North College Hill City","Hamilton","Region 13","1731 Goodman Ave","Cincinnati, OH, 45239-4844","(513) 931-8181","Eugene E. Blalock","83.2","D","89","107","81.4","83.6",""
"044529","North Olmsted City","Cuyahoga","Region 3","26669 Butternut Ridge Rd","North Olmsted, OH, 44070-3154","(440) 779-3549","Michael E. Zalar","93.2","A","317","340","93.5","83.6",""
"044537","North Ridgeville City","Lorain","Region 2","5490 Mills Creek Ln","North Ridgeville, OH, 44039-2339","(440) 327-4444","James E. Powell","90.9","B","289","318","94.2","83.6",""
"044545","North Royalton City","Cuyahoga","Region 3","6579 Royalton Rd","North Royalton, OH, 44133-4925","(440) 237-8800","Gregory J. Gurka","95.7","A","377","394","95.1","83.6",""
"044552","Norton City","Summit","Region 8","4128 Cleveland Massillon Rd","Norton, OH, 44203-5633","(330) 825-0863","Dana W. Addis","94.7","A","177","187","93.9","83.6",""
"044560","Norwalk City","Huron","Region 2","134 Benedict Ave","Norwalk, OH, 44857-2349","(419) 668-2779","George E. Fisk","96.2","A","200","208","90.4","83.6",""
"044578","Norwood City","Hamilton","Region 13","2132 Williams Ave","Norwood, OH, 45212-3806","(513) 924-2500","Katherine S. Sabo","82.4","D","122","148","88.9","83.6",""
"044586","Oakwood City","Montgomery","Region 10","20 Rubicon Rd","Dayton, OH, 45409-2239","(937) 297-5332","KYLE B. RAMEY","99.4","A","178","179","96.8","83.6",""
"044594","Oberlin City Schools","Lorain","Region 2","153 N Main St","Oberlin, OH, 44074-1173","(440) 774-1458","David H. Hall","89.2","B","83","93","92.5","83.6",""
"044602","Oregon City","Lucas","Region 1","5721 Seaman St","Oregon, OH, 43616-2631","(419) 693-0661","Hal D. Gregory","93.5","A","260","278","91.5","83.6",""
"044610","Orrville City","Wayne","Region 9","815 N Ella St","Orrville, OH, 44667-1154","(330) 682-4651","James J. Ritchie","91.9","B","102","111","90.7","83.6",""
"044628","Painesville City Local","Lake","Region 4","58 Jefferson St","Painesville, OH, 44077-3114","(440) 392-5060","John T. Shepard","71.8","F","158","220","79.8","83.6",""
"044636","Parma City","Cuyahoga","Region 3","5311 Longwood Avenue","Parma, OH, 44134-0932","(440) 842-5300","Carl H. Hilling","87.7","C","787","897","89.6","83.6",""
"044644","Piqua City","Miami","Region 10","719 E Ash St","Piqua, OH, 45356-2411","(937) 773-4321","Dwayne A. Thompson","87.5","C","244","279","90.8","83.6",""
"044651","Port Clinton City","Ottawa","Region 1","811 Jefferson St","Port Clinton, OH, 43452-2415","(419) 732-2102","Patrick D. Adkins","93.0","A","146","157","91.8","83.6",""
"044669","Portsmouth City","Scioto","Region 15","724 Findlay St","Portsmouth, OH, 45662-4113","(740) 354-4727","Gary S. Dutey","79.6","D","90","113","86.4","83.6",""
"044677","Princeton City","Hamilton","Region 13","3900 Cottingham Dr","Cincinnati, OH, 45241-1616","(513) 864-1000","Thomas S. Tucker","85.3","C","307","360","88.6","83.6",""
"044685","Ravenna City","Portage","Region 8","507 E Main St","Ravenna, OH, 44266-3257","(330) 296-9679","Dennis M. Honkala","85.8","C","188","219","86.4","83.6",""
"044693","Reading Community City","Hamilton","Region 13","1301 Bonnell St","Reading, OH, 45215-3322","(513) 554-1800","Charles R. Lafata","90.5","B","95","105","89.0","83.6",""
"044701","Rocky River City","Cuyahoga","Region 3","1101 Morewood Pkwy","Rocky River, OH, 44116-1439","(440) 333-6000","Michael G. Shoaf","99.1","A","211","213","96.0","83.6",""
"044719","St Bernard-Elmwood Place City","Hamilton","Region 13","105 Washington Ave","Saint Bernard, OH, 45217-1317","(513) 482-7121","Mary Eleanor E. Webb","84.9","C","62","73","83.8","83.6",""
"044727","St Marys City","Auglaize","Region 6","100 W Spring St","Saint Marys, OH, 45885-2312","(419) 394-4312","Howard A. Overman","96.2","A","153","159","93.3","83.6",""
"044735","Salem City","Columbiana","Region 5","1226 E State St","Salem, OH, 44460-2222","(330) 332-0316","Joseph A. Shivers","89.2","B","148","166","90.1","83.6",""
"044743","Sandusky City","Erie","Region 2","407 Decatur St","Sandusky, OH, 44870-2442","(419) 626-6940","Eugene T. Sanders","76.1","F","156","205","82.0","83.6",""
"044750","Shaker Heights City","Cuyahoga","Region 3","15600 Parkland Dr","Shaker Heights, OH, 44120-2529","(216) 295-4000","Gregory C. Hutchings","91.6","B","427","466","94.8","83.6",""
"044768","Sheffield-Sheffield Lake City","Lorain","Region 2","1824 Harris Rd","Sheffield Village, OH, 44054-2628","(440) 949-6181","Michael F. Cook","92.7","B","139","150","93.6","83.6",""
"044776","Shelby City","Richland","Region 7","25 High School Ave","Shelby, OH, 44875-1576","(419) 342-3520","Timothy S. Tarvin","86.0","C","117","136","92.8","83.6",""
"044784","Sidney City","Shelby","Region 6","750 S 4th Ave","Sidney, OH, 45365-1163","(937) 497-2200","John F. Scheu","83.2","D","223","268","90.4","83.6",""
"044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","5044 Mayfield Rd","Lyndhurst, OH, 44124-2605","(216) 691-2000","Linda N. Reid","81.0","D","265","327","91.2","83.6",""
"044800","South-Western City","Franklin","Region 11","3805 Marlane Dr","Grove City, OH, 43123-9224","(614) 801-3000","William H. Wise","86.5","C","1347","1557","88.0","83.6",""
"044818","Springfield City School District","Clark","Region 10","1500 W Jefferson St","Springfield, OH, 45506-1224","(937) 505-2800","Robert F. Hill","75.4","F","364","483","79.5","83.6","Third Grade Reading Guarantee data may be incomplete due to local reporting error. Contact district for more information."
"044826","Steubenville City","Jefferson","Region 12","PO Box 189","Steubenville, OH, 43952-5189","(740) 283-3767","Melinda M. Young","96.8","A","152","157","82.1","83.6",""
"044834","Stow-Munroe Falls City School District","Summit","Region 8","4350 Allen Rd","Stow, OH, 44224-1032","(330) 689-5445","Thomas P. Bratten","94.3","A","413","438","95.1","83.6",""
"044842","Strongsville City","Cuyahoga","Region 3","18199 Cook Ave","Strongsville, OH, 44136-5216","(440) 572-7000","Cameron M. Ryba","94.9","A","467","492","95.1","83.6",""
"044859","Struthers City","Mahoning","Region 5","99 Euclid Ave","Struthers, OH, 44471-1831","(330) 750-1061","Peter J. Pirone","91.2","B","125","137","89.9","83.6",""
"044867","Sycamore Community City","Hamilton","Region 13","5959 Hagewa Dr","Blue Ash, OH, 45242-6240","(513) 686-1700","Frank A. Forsthoefel","96.0","A","388","404","96.5","83.6",""
"044875","Sylvania Schools","Lucas","Region 1","4747 N Holland Sylvania Rd","Sylvania, OH, 43560-2116","(419) 824-8501","Adam D. Fineske","94.5","A","529","560","95.4","83.6",""
"044883","Tallmadge City","Summit","Region 8","486 East Ave","Tallmadge, OH, 44278-2000","(330) 633-3291","Jeffrey M. Ferguson","96.4","A","189","196","92.9","83.6",""
"044891","Tiffin City","Seneca","Region 7","244 S Monroe St","Tiffin, OH, 44883-2906","(419) 447-2515","Gary A. Barber","96.1","A","196","204","91.2","83.6",""
"044909","Toledo City","Lucas","Region 1","1609 N Summit St","Toledo, OH, 43604-1806","(419) 671-0500","Romules L. Durant","72.1","F","1017","1411","76.3","83.6","Educator and principal data may be incomplete due to local reporting error. Contact district for more information."
"044917","Toronto City","Jefferson","Region 12","1307 Dennis Way","Toronto, OH, 43964-1952","(740) 537-2456","Maureen R. Taggart","87.7","C","57","65","91.6","83.6",""
"044925","Troy City","Miami","Region 10","500 N Market St","Troy, OH, 45373-1418","(937) 332-6700","Eric J. Herman","94.7","A","322","340","92.7","83.6",""
"044933","Upper Arlington City","Franklin","Region 11","1950 N Mallway Dr","Upper Arlington, OH, 43221-4398","(614) 487-5000","Paul W. Imhoff","97.5","A","431","442","96.9","83.6",""
"044941","Urbana City","Champaign","Region 6","711 Wood St","Urbana, OH, 43078-1498","(937) 653-1402","Charles B. Thiel","88.3","C","106","120","90.5","83.6",""
"044958","Vandalia-Butler City","Montgomery","Region 10","500 S Dixie Dr","Vandalia, OH, 45377-2128","(937) 415-6400","Robert M. O'Leary","91.6","B","251","274","93.9","83.6",""
"044966","Van Wert City","Van Wert","Region 1","205 W Crawford St","Van Wert, OH, 45891-1903","(419) 238-0648","Staci A. Kaufman","99.2","A","119","120","92.2","83.6",""
"044974","Wadsworth City","Medina","Region 8","524 Broad St","Wadsworth, OH, 44281-2306","(330) 336-3571","Andrew J. Hill","95.2","A","360","378","94.1","83.6",""
"044982","Wapakoneta City","Auglaize","Region 6","1102 Gardenia Dr","Wapakoneta, OH, 45895-1063","(419) 739-2900","Keith W. Horner","95.3","A","202","212","93.3","83.6",""
"044990","Warren City","Trumbull","Region 5","105 High Street","Warren, OH, 44481","(330) 841-2321","Stephen G. Chiaro","86.0","C","276","321","79.8","83.6",""
"045005","Warrensville Heights City","Cuyahoga","Region 3","4500 Warrensville Center Rd","Warrensville Heights, OH, 44128-4134","(216) 865-4717","Donald J. Jolly","76.9","F","83","108","88.4","83.6",""
"045013","Washington Court House City","Fayette","Region 14","306 Highland Ave","Washington Court Hou, OH, 43160-1819","(740) 335-6620","Thomas S. Bailey","88.4","C","145","164","89.7","83.6",""
"045021","Wellston City","Jackson","Region 16","1 E Broadway St","Wellston, OH, 45692-1225","(740) 384-2152","Karen P. Boch","93.8","A","137","146","90.9","83.6",""
