District IRN,District Name,County,Region,Address,"City, State, Zip",Phone,Superintendent,Enrollment 2016-2017,Letter Grade of Achievement Component,Letter Grade of Percent Standards,Gifted Indicator Met/Not Met Status,Percent of Standards Met,Letter Grade of Performance Index,Performance Index Percent,Letter Grade of AMO,AMO Points,Letter Grade of K3 Literacy,K3 Literacy Percent,Letter Grade of Progress Component,Letter Grade of Overall Value Added,Overall Value Added Gain Index,Letter Grade of Gifted Value Added,Gifted Value Added Gain Index,Letter Grade of Students with Disabilities Value Added,Students with Disabilities Value Added Gain Index,Letter Grade of Lowest 20% Value Added,Lowest 20% Value Added Gain Index,Letter Grade of High Mobility Value Added,High Mobility Value Added Gain Index,Letter Grade of Grad Rate Component,Letter Grade of 4Year Grad Rate 2016,4 Year Grad Rate 2016,Letter Grade of 5 Year Grad Rate 2015,5 Year Grad Rate 2015,Letter Grade of Prepared for Success Component,Percent of Prepared for Success Component,Attendance Rate 2016-2017,Attendance Rate 2015-2016,Attendance Rate 2014-2015,Chronic Absenteeism Percent 2016-2017,Watermark
043570,Bellaire Local,Belmont,Region 12,340 34th St,"Bellaire, OH, 43906-1589",(740) 676-1826,Darren C. Jenkins,1154,D,F,Not Met,16.0,D,68.2,F,26.8,D,23.5,D,F,-15.6,F,-2.4,F,-9.7,C,-0.4,NR,NC,D,D,83.1,D,83.7,F,13.9,92.8,93.8,93.8,20.6,
043588,Bellefontaine City,Logan,Region 6,820 Ludlow Rd,"Bellefontaine, OH, 43311-1852",(937) 593-9060,Bradley J. Hall,2362,D,F,Not Met,4.2,C,72.5,F,50.6,B,63.5,B,A,10.0,A,4.1,C,-0.7,B,2.0,NR,NC,A,A,93.8,A,97.0,D,35.3,94.8,95.3,95.1,12.2,
043596,Bellevue City,Huron,Region 2,125 North St,"Bellevue, OH, 44811-1423",(419) 484-5000,Kim M. Schubert,1928,C,F,Not Met,20.8,C,76.4,C,75.8,D,23.6,B,A,6.7,A,3.8,C,0.0,C,0.9,NR,NC,A,A,96.2,A,96.7,D,37.9,94.7,94.9,95.1,10.6,
043604,Belpre City,Washington,Region 16,2014 Rockland Ave,"Belpre, OH, 45714-1118",(740) 423-9511,Dwight A. Dunn,962,D,F,Not Met,25.0,C,72.5,D,65.9,NR,NC,D,F,-3.2,B,1.8,D,-1.3,C,-0.2,NR,NC,C,C,85.5,C,88.6,D,26.3,94.5,94.7,94.6,14.1,
043612,Berea City,Cuyahoga,Region 3,390 Fair St,"Berea, OH, 44017-2308",(216) 898-8300,Michael R. Sheppard,6132,D,F,Not Met,4.2,D,69.6,F,53.6,C,42.8,F,F,-19.1,F,-6.8,F,-13.2,F,-9.1,NR,NC,B,B,91.7,B,94.5,C,50.2,94.0,94.0,93.9,14.3,
043620,Bexley City,Franklin,Region 11,348 S Cassingham Rd,"Bexley, OH, 43209-1897",(614) 231-7611,Kimberly P. Miller,2344,B,B,Not Met,83.3,B,84.7,C,76.8,B,61.8,B,A,2.8,A,5.1,C,0.0,C,-0.6,NR,NC,A,A,95.0,A,97.3,A,91.6,95.9,95.9,95.6,5.1,
043638,Bowling Green City School District,Wood,Region 1,137 Clough St,"Bowling Green, OH, 43402-2901",(419) 352-3576,Francis R. Scruci,2888,D,F,Not Met,8.3,C,75.6,D,65.6,C,35.8,A,A,7.0,A,4.9,A,2.9,A,4.1,NR,NC,A,A,94.2,A,95.7,C,47.2,95.9,95.6,95.6,5.8,
043646,Brecksville-Broadview Heights City,Cuyahoga,Region 3,6638 Mill Rd,"Brecksville, OH, 44141-1512",(440) 740-4000,Joelle M. Magyar,3793,A,A,Not Met,95.8,B,88.9,B,87.5,C,44.4,B,A,32.6,A,24.0,B,1.3,D,-1.2,NR,NC,A,A,97.0,A,96.7,B,76.0,95.8,96.0,95.7,5.9,
043653,Brooklyn City,Cuyahoga,Region 3,9200 Biddulph Rd,"Brooklyn, OH, 44144-2614",(216) 485-8100,Mark G. Gleichauf,1232,D,F,Not Met,0.0,D,65.3,F,47.0,C,36.5,B,C,0.9,A,2.0,C,0.7,C,0.7,NR,NC,B,B,91.5,B,90.3,C,45.7,95.5,94.6,95.0,10.1,
043661,Brunswick City,Medina,Region 8,3643 Center Rd,"Brunswick, OH, 44212-3619",(330) 225-7731,Michael D. Mayell,7026,C,F,Not Met,24.0,C,78.5,C,75.7,C,47.4,A,A,9.2,A,5.3,A,2.2,A,3.7,NR,NC,A,A,95.0,A,97.3,C,52.2,95.3,95.7,95.7,8.3,
043679,Bryan City,Williams,Region 1,1350 Fountain Grove Dr,"Bryan, OH, 43506-8733",(419) 636-6973,Diana L. Savage,1973,D,F,Not Met,12.5,C,73.9,F,45.0,B,52.4,D,F,-2.8,C,0.4,F,-2.1,C,-0.8,NR,NC,A,A,93.7,A,97.4,C,53.2,95.5,95.2,94.9,8.6,
043687,Bucyrus City,Crawford,Region 7,170 Plymouth St,"Bucyrus, OH, 44820-1627",(419) 562-4045,Kevin D. Kimmel,1283,D,F,Not Met,4.0,D,64.8,F,47.3,C,26.0,C,C,-0.2,F,-2.2,B,1.4,C,0.7,NR,NC,C,C,86.0,C,88.9,F,18.2,93.9,94.5,94.2,14.0,
043695,Cambridge City,Guernsey,Region 12,518 S 8th St,"Cambridge, OH, 43725-8865",(740) 439-5021,Daniel A. Coffman,1920,D,F,Not Met,8.3,C,71.2,F,30.1,C,32.9,B,A,2.4,A,2.5,C,-0.8,C,-0.4,NR,NC,D,D,81.2,D,84.4,D,29.5,94.2,95.3,94.3,14.8,
043703,Campbell City,Mahoning,Region 5,280 6th St,"Campbell, OH, 44405-1325",(330) 799-6726,Matthew L. Bowen,1101,D,F,Not Met,0.0,D,60.1,F,53.0,D,20.8,B,A,2.9,NR,NC,C,0.9,A,2.2,NR,NC,C,C,85.9,D,83.7,D,26.2,92.2,92.9,92.7,26.7,
043711,Canton City,Stark,Region 9,1312 5th St SW,"Canton, OH, 44707-4657",(330) 438-2500,Adrian E. Allison,8726,F,F,Not Met,0.0,D,53.6,F,10.4,D,13.9,D,F,-12.0,A,3.5,C,-0.9,F,-2.4,NR,NC,F,F,76.2,D,80.2,F,13.9,92.4,93.1,93.2,22.8,
043729,Celina City,Mercer,Region 6,585 E Livingston St,"Celina, OH, 45822-1742",(419) 586-8300,Kenneth J. Schmiesing,2615,D,F,Not Met,29.2,C,74.2,F,47.8,B,61.1,A,A,11.6,A,5.5,A,2.9,A,4.4,NR,NC,B,B,91.9,A,95.8,D,25.3,95.2,95.3,95.5,10.3,
043737,Centerville City,Montgomery,Region 10,111 Virginia Ave,"Centerville, OH, 45458-2249",(937) 433-8841,Thomas J. Henderson,7844,C,F,Not Met,41.7,B,80.9,D,69.7,C,43.6,A,A,8.7,A,8.5,A,2.6,B,1.7,NR,NC,A,A,95.1,A,95.3,C,67.7,95.8,96.0,96.0,7.0,
043745,Chillicothe City,Ross,Region 15,425 Yoctangee Pkwy,"Chillicothe, OH, 45601-1663",(740) 775-4250,Jon C. Saxton,2710,D,F,Not Met,4.2,D,68.1,F,57.0,C,32.8,D,F,-10.0,C,-0.1,F,-2.7,F,-3.5,NR,NC,D,D,83.8,D,82.3,D,33.0,92.7,93.0,93.8,22.9,
043752,Cincinnati City,Hamilton,Region 13,PO Box 5381,"Cincinnati, OH, 45201-5381",(513) 363-0000,Catherine L. Mitchell,34350,D,F,Not Met,0.0,D,59.6,F,22.6,C,30.5,F,F,-65.1,F,-12.3,F,-34.2,F,-33.7,NR,NC,F,F,72.8,F,78.5,D,27.4,95.2,93.1,94.6,13.0,
043760,Circleville City,Pickaway,Region 11,388 Clark Dr,"Circleville, OH, 43113-1517",(740) 474-4340,Jonathan E. Davis,2092,D,F,Not Met,4.2,D,67.7,D,61.7,A,78.9,C,C,-0.4,C,0.4,F,-4.7,F,-2.2,NR,NC,B,A,94.0,B,93.7,D,37.0,93.6,93.8,93.9,18.5,
043778,Claymont City,Tuscarawas,Region 12,201 N 3rd St,"Dennison, OH, 44621-1237",(740) 922-5478,John A. Rocchi,2009,D,F,Not Met,4.2,D,67.9,F,29.5,C,30.9,D,F,-4.0,A,3.2,F,-10.3,F,-3.1,NR,NC,B,C,88.0,B,91.8,D,28.5,94.1,95.3,95.2,13.7,
043786,Cleveland Municipal,Cuyahoga,Region 3,1111 Superior Ave E,"Cleveland, OH, 44114-2522",(216) 574-8000,Eric S. Gordon,38939,F,F,Not Met,0.0,F,49.2,F,16.9,C,25.4,F,F,-52.9,F,-19.5,F,-30.1,F,-28.2,NR,NC,F,F,72.1,F,76.1,F,8.3,91.0,91.5,90.0,30.2,
043794,Cleveland Heights-University Heights City,Cuyahoga,Region 3,2155 Miramar Blvd,"University Heights, OH, 44118-3301",(216) 371-7171,Talisa L. Dixon,5152,D,F,Not Met,0.0,D,62.0,F,45.9,B,50.2,F,F,-24.7,F,-5.1,F,-17.0,F,-13.0,NR,NC,C,C,85.6,B,92.7,F,22.9,92.7,93.0,93.2,22.5,
043802,Columbus City,Franklin,Region 11,1091 King Ave,"Columbus, OH, 43212-2204",(614) 365-5000,James D. Good,49990,F,F,Not Met,0.0,D,52.1,F,9.9,D,22.5,F,F,-41.6,F,-8.5,F,-19.5,F,-25.0,NR,NC,F,F,74.1,D,80.8,F,14.7,89.2,89.1,90.9,37.8,
043810,Conneaut Area City,Ashtabula,Region 5,230 Gateway Ave,"Conneaut, OH, 44030-2355",(440) 593-7200,Lori A. Riley,1610,D,F,Not Met,4.0,D,69.6,F,46.9,NR,NC,A,A,7.6,B,1.4,A,2.8,A,6.3,NR,NC,C,C,86.9,C,85.7,F,16.1,93.9,94.4,94.7,15.1,
043828,Coshocton City,Coshocton,Region 12,1207 Cambridge Rd,"Coshocton, OH, 43812-2742",(740) 622-1901,David L. Hire,1477,D,F,Not Met,4.2,D,68.8,F,58.5,B,55.7,A,A,8.6,A,2.8,A,5.1,A,5.0,NR,NC,A,A,94.5,B,94.1,D,36.9,95.0,95.2,94.8,9.4,
043836,Cuyahoga Falls City,Summit,Region 8,PO Box 396,"Cuyahoga Falls, OH, 44222-0396",(330) 926-3800,Todd M. Nichols,4672,D,F,Not Met,8.3,C,72.1,F,40.8,C,36.8,B,B,1.4,A,3.5,D,-1.0,C,0.4,NR,NC,B,B,90.0,B,90.2,D,33.4,94.7,95.0,94.9,11.4,
043844,Dayton City,Montgomery,Region 10,115 S Ludlow St,"Dayton, OH, 45402-1812",(937) 542-3000,Rhonda A. Corr,13323,F,F,Not Met,0.0,F,47.6,F,7.4,D,23.8,D,F,-8.7,A,2.2,F,-5.9,F,-4.1,NR,NC,F,F,72.6,D,80.7,F,12.3,90.8,92.0,91.9,30.7,
043851,Deer Park Community City,Hamilton,Region 13,4131 Matson Ave,"Cincinnati, OH, 45236-2509",(513) 891-0222,Jack W. Phillips III,1184,C,F,Not Met,29.2,C,75.7,D,65.8,B,61.4,B,A,2.4,C,-0.5,C,-0.5,C,0.4,NR,NC,B,A,94.5,B,92.2,D,37.5,94.6,95.0,94.8,13.0,
043869,Defiance City,Defiance,Region 1,629 Arabella St,"Defiance, OH, 43512-2856",(419) 782-0070,Michael R. Struble,2453,D,F,Not Met,0.0,C,70.1,F,57.5,D,20.1,D,F,-3.6,C,-0.7,F,-3.2,D,-1.5,NR,NC,B,C,87.3,A,95.3,D,29.7,94.8,95.0,94.9,10.6,
043877,Delaware City,Delaware,Region 11,74 W William St,"Delaware, OH, 43015-2339",(740) 833-1100,Paul A. Craft,5449,C,F,Not Met,20.8,C,76.9,F,41.4,C,41.2,B,A,11.8,A,5.8,B,1.4,C,-0.6,NR,NC,B,B,92.6,A,95.7,D,39.9,94.9,95.2,95.2,11.3,
043885,Delphos City,Allen,Region 6,234 N Jefferson St,"Delphos, OH, 45833-1690",(419) 692-2509,Kevin J. Wolfe,962,C,D,Not Met,54.2,B,82.2,B,80.8,C,41.7,C,F,-3.2,A,2.1,B,1.5,C,-0.4,NR,NC,A,A,95.4,B,92.5,D,35.9,96.0,96.1,96.0,7.0,
043893,Dover City,Tuscarawas,Region 12,219 W 6th St,"Dover, OH, 44622-2803",(330) 364-1906,Carla J. Birney,2771,C,F,Not Met,29.2,C,78.5,F,55.5,C,31.0,A,A,15.7,A,5.4,A,2.6,A,5.8,NR,NC,B,B,91.3,A,96.9,C,45.7,96.1,96.3,96.1,5.0,
043901,East Cleveland City School District,Cuyahoga,Region 3,1843 Stanwood Rd,"East Cleveland, OH, 44112-2901",(216) 268-6570,Myrna L. Corley,2159,F,F,Not Met,0.0,F,48.1,F,8.3,C,48.5,F,F,-10.4,F,-3.4,F,-4.5,F,-4.1,NR,NC,F,F,68.0,F,75.1,F,10.2,90.6,91.0,91.1,34.3,
043919,East Liverpool City,Columbiana,Region 5,810 W 8th St,"East Liverpool, OH, 43920-2302",(330) 385-7132,Randy L. Taylor,2101,D,F,Not Met,0.0,D,58.7,F,44.5,D,17.9,B,B,1.7,C,0.0,B,1.0,A,3.5,NR,NC,B,B,89.9,C,88.9,F,14.0,93.2,93.5,93.2,21.4,
043927,East Palestine City,Columbiana,Region 5,200 West North Avenue,"East Palestine, OH, 44413-1779",(330) 426-4191,Traci J. Hostetler,1044,D,F,Not Met,16.7,C,72.4,C,71.0,A,75.7,B,A,3.5,F,-3.3,C,-0.4,A,3.7,NR,NC,B,A,94.0,B,93.1,D,32.1,93.2,93.9,94.4,18.8,
043935,Eaton Community City,Preble,Region 10,306 Eaton Lewisburg Rd,"Eaton, OH, 45320-1105",(937) 456-1107,Barbara L. Curry,1955,C,F,Met,33.3,C,78.4,C,74.5,C,42.8,A,A,18.7,A,6.1,B,1.3,A,2.5,NR,NC,B,B,92.1,B,92.6,D,39.7,95.5,95.4,95.1,9.1,
043943,Elyria City Schools,Lorain,Region 2,42101 Griswold Rd,"Elyria, OH, 44035-2117",(440) 284-8000,Thomas G. Jama,6035,D,F,Not Met,0.0,D,63.7,F,21.1,D,23.1,F,F,-19.5,F,-9.1,F,-7.5,F,-6.2,NR,NC,C,C,84.8,C,88.1,F,23.7,93.6,94.5,94.0,17.5,
043950,Euclid City,Cuyahoga,Region 3,651 E 222nd St,"Euclid, OH, 44123-2031",(216) 261-2900,Charles A. Smialek,5175,F,F,Not Met,0.0,D,52.3,F,26.8,C,25.7,D,F,-3.3,D,-1.9,F,-3.4,D,-1.8,NR,NC,F,F,75.2,F,72.0,F,7.8,90.8,93.3,93.5,33.5,Third Grade Reading Guarantee data may be incomplete due to local reporting error. Contact district for more information.
043968,Fairborn City,Greene,Region 10,306 E Whittier Ave,"Fairborn, OH, 45324-5313",(937) 878-3961,Mark O. North,4134,D,F,Not Met,8.3,D,67.2,F,25.0,C,25.7,F,F,-15.0,F,-5.3,F,-7.8,F,-5.6,NR,NC,B,B,89.3,B,92.6,D,36.2,95.0,95.0,95.2,10.6,
043976,Fairview Park City,Cuyahoga,Region 3,21620 Mastick Rd # A,"Fairview Park, OH, 44126-3047",(440) 331-5500,William W. Wagner,1754,D,F,Not Met,8.3,C,73.5,F,47.5,C,35.6,D,F,-7.9,C,-0.7,F,-2.3,C,0.7,NR,NC,B,A,93.1,B,91.5,C,53.4,94.9,95.4,95.4,10.5,
043984,Findlay City,Hancock,Region 1,2019 Broad Ave,"Findlay, OH, 45840-2749",(419) 425-8212,Edward P. Kurt,5438,D,F,Not Met,20.8,C,74.7,F,55.6,C,44.2,D,F,-2.2,A,5.9,F,-7.5,F,-5.5,NR,NC,B,B,91.8,A,97.4,C,56.9,95.4,95.9,95.6,7.9,
043992,Fostoria City,Seneca,Region 1,1001 Park Ave,"Fostoria, OH, 44830-1455",(419) 435-8163,Andrew R. Sprang,1804,D,F,Not Met,0.0,D,63.3,F,46.8,D,15.6,A,B,1.3,A,2.4,A,2.1,A,2.2,NR,NC,D,C,86.0,D,80.9,D,27.3,93.2,93.4,92.9,19.5,
044008,Franklin City,Warren,Region 13,150 E 6th St,"Franklin, OH, 45005-2559",(937) 746-1699,Michael D. Sander,2870,D,F,Not Met,16.7,C,71.6,F,44.6,C,28.3,D,F,-3.2,D,-1.2,F,-4.6,C,-0.7,NR,NC,A,A,93.1,A,96.2,D,34.3,94.9,95.2,95.0,10.1,
044016,Fremont City,Sandusky,Region 1,500 W State St,"Fremont, OH, 43420-2572",(419) 332-6454,Jon C. Detwiler,3795,D,F,Not Met,8.3,D,66.5,F,53.8,C,35.3,D,F,-13.4,D,-1.4,F,-7.3,F,-7.9,NR,NC,A,A,93.4,A,96.7,D,35.0,94.9,95.4,95.5,11.0,
044024,Galion City,Crawford,Region 7,470 Portland Way N,"Galion, OH, 44833-1115",(419) 468-3432,James M. Grubbs,1717,D,F,Not Met,0.0,D,69.0,F,42.7,D,2.7,A,A,7.5,A,2.1,A,2.2,A,3.7,NR,NC,C,C,85.6,B,94.1,D,32.4,95.1,95.4,95.4,10.1,
044032,Gallipolis City,Gallia,Region 16,61 State St,"Gallipolis, OH, 45631-1131",(740) 446-3211,Craig D. Wright,2028,D,F,Not Met,4.2,C,71.4,F,59.6,C,26.9,F,F,-9.0,F,-2.2,F,-7.3,F,-5.5,NR,NC,B,C,88.7,B,91.3,D,39.4,93.9,95.0,94.8,16.1,
044040,Garfield Heights City Schools,Cuyahoga,Region 3,5640 Briarcliff Dr,"Garfield Heights, OH, 44125-4158",(216) 475-8100,Terrance S. Olszewski,3521,F,F,Not Met,0.0,D,53.6,F,13.3,C,24.7,B,C,-1.0,C,0.2,C,-0.8,A,5.2,NR,NC,D,D,82.5,C,87.3,F,14.7,93.4,94.1,93.7,20.8,
044057,Geneva Area City,Ashtabula,Region 5,135 S Eagle St,"Geneva, OH, 44041-1513",(440) 466-4831,Eric M. Kujala,2375,D,F,Not Met,8.3,C,71.8,F,47.5,B,62.7,B,C,0.7,A,3.7,C,-0.8,A,2.3,NR,NC,B,B,92.6,B,94.9,D,28.8,93.1,93.9,93.6,20.6,
044065,Girard City School District,Trumbull,Region 5,100 W Main St Ste 2,"Girard, OH, 44420-2598",(330) 545-2596,David M. Cappuzzello,1673,C,F,Not Met,41.7,C,79.0,C,73.4,B,58.3,A,A,17.5,A,4.7,A,9.9,A,6.2,NR,NC,B,B,90.1,B,93.0,D,31.4,92.7,93.7,93.9,24.0,
044073,Grandview Heights Schools,Franklin,Region 11,1587 W 3rd Ave,"Columbus, OH, 43212-2825",(614) 481-3600,Andrew K. Culp,1064,B,B,Not Met,83.3,B,86.5,C,76.4,C,33.3,D,D,-1.7,C,-0.8,F,-2.8,D,-1.0,NR,NC,A,A,95.8,A,96.4,B,70.7,96.0,95.7,96.1,6.6,
044081,Winton Woods City,Hamilton,Region 13,1215 W Kemper Rd,"Cincinnati, OH, 45240-1617",(513) 619-2300,Anthony G. Smith,3633,D,F,Not Met,0.0,D,55.3,F,24.7,C,32.7,D,F,-4.7,B,1.8,F,-2.8,D,-1.6,NR,NC,D,D,83.2,C,85.9,F,21.0,93.7,94.1,94.2,17.7,
044099,Greenville City,Darke,Region 10,215 W 4th St,"Greenville, OH, 45331-1423",(937) 548-3185,Douglas W. Fries,2484,D,F,Not Met,4.2,D,69.3,F,30.8,C,33.1,C,C,-0.7,C,0.8,C,0.1,C,0.3,NR,NC,B,B,90.4,B,93.9,D,30.1,94.4,94.5,95.0,12.5,
044107,Hamilton City,Butler,Region 13,PO Box 627,"Hamilton, OH, 45012-0627",(513) 887-5000,Anthony T. Orr,9928,D,F,Not Met,0.0,D,64.0,F,25.5,C,41.2,F,F,-20.7,F,-3.0,F,-11.0,F,-12.1,NR,NC,D,F,76.4,D,83.0,F,22.8,94.4,94.7,94.6,14.0,
044115,Heath City,Licking,Region 11,107 Lancaster Dr,"Heath, OH, 43056-1220",(740) 522-2816,Trevor R. Thomas,1618,C,F,Not Met,12.5,C,76.1,D,63.9,NR,NC,B,A,2.1,A,4.6,C,-0.1,C,-0.9,NR,NC,A,B,92.4,A,97.7,D,40.0,94.9,94.9,94.9,11.9,
044123,Hillsboro City,Highland,Region 14,39 Willetsville Pike,"Hillsboro, OH, 45133-8277",(937) 393-3475,Brian T. Davis,2380,D,F,Not Met,8.3,C,70.7,F,55.1,A,82.1,B,B,1.1,D,-1.8,D,-1.0,C,-0.3,NR,NC,C,C,88.7,C,86.3,D,29.6,93.8,94.1,95.1,16.1,
044131,Huron City Schools,Erie,Region 2,712 Cleveland Rd E,"Huron, OH, 44839-1871",(419) 433-1234,Dennis M. Muratori,1364,C,D,Not Met,50.0,C,79.1,D,62.6,C,44.2,D,F,-7.2,D,-1.5,F,-5.0,D,-1.6,NR,NC,A,A,94.7,A,98.6,C,60.0,95.3,95.0,94.9,8.1,
044149,Ironton City,Lawrence,Region 15,105 S 5th St,"Ironton, OH, 45638-1426",(740) 532-4133,William D. Nance,1366,D,F,Not Met,4.2,C,71.5,F,42.5,B,57.1,F,F,-12.7,F,-2.8,F,-4.7,F,-3.2,NR,NC,A,A,98.1,A,96.0,D,29.4,94.2,94.4,94.7,14.0,
044156,Jackson City,Jackson,Region 16,450 Vaughn St,"Jackson, OH, 45640-1944",(740) 286-6442,Phillip R. Howard,2374,C,F,Not Met,41.7,C,78.2,C,78.3,C,46.7,D,F,-2.9,F,-2.1,C,-0.4,C,-0.4,NR,NC,A,A,97.2,A,97.5,D,33.7,94.2,94.8,94.6,16.0,
044164,Kent City,Portage,Region 8,321 N Depeyster St,"Kent, OH, 44240-2514",(330) 673-6515,George J. Joseph,3121,C,F,Not Met,20.8,C,76.9,F,54.5,C,31.0,D,F,-2.8,C,-0.8,F,-4.0,C,-1.0,NR,NC,B,A,93.7,C,89.3,D,39.6,94.8,94.8,94.5,12.0,
044172,Kenton City,Hardin,Region 6,222 W Carrol St,"Kenton, OH, 43326-1202",(419) 673-0775,Jennifer M. Penczarski,1851,D,F,Not Met,7.7,C,70.0,F,28.3,C,47.8,D,F,-10.5,C,0.5,F,-7.7,F,-4.9,NR,NC,B,B,92.1,A,95.7,D,29.0,93.6,94.4,94.4,18.5,
044180,Kettering City School District,Montgomery,Region 10,3750 Far Hills Ave,"Kettering, OH, 45429-2506",(937) 499-1430,L Scott S. Inskeep,7538,C,F,Not Met,41.7,C,79.8,C,75.1,C,46.7,B,A,5.7,A,5.4,C,-0.1,F,-2.3,NR,NC,B,B,92.5,A,95.4,C,46.3,95.9,96.0,95.9,7.6,
044198,Lakewood City,Cuyahoga,Region 3,1470 Warren Rd,"Lakewood, OH, 44107-3918",(216) 529-4092,Jeffrey W. Patterson,5076,C,F,Not Met,12.5,C,76.1,F,33.4,C,29.4,B,A,2.6,C,-0.0,C,0.2,A,5.6,NR,NC,C,C,84.6,C,89.6,D,44.4,95.6,95.8,95.6,8.1,
044206,Lancaster City,Fairfield,Region 11,345 E Mulberry St,"Lancaster, OH, 43130-3166",(740) 687-7300,Steven M. Wigton,6374,D,F,Not Met,4.2,C,73.0,F,56.6,C,38.7,B,A,6.8,A,5.9,C,0.1,D,-1.1,NR,NC,B,B,91.4,B,93.7,D,38.1,94.2,95.0,94.7,14.0,
044214,Lebanon City,Warren,Region 13,700 Holbrook Ave,"Lebanon, OH, 45036-1648",(513) 934-5770,Todd Yohey,5298,C,F,Not Met,25.0,C,78.7,F,57.8,B,50.2,D,F,-10.2,D,-1.1,F,-5.7,F,-2.2,NR,NC,A,A,94.3,A,97.5,C,50.5,96.1,96.5,95.8,5.3,
